solver,instance,category,num_cities,TourLength,OptimalityGap(%),EdgeMatchRate(%),Runtime(s),Memory(B)
NearestNeighbor,Small_1,Small,10,3231.1742179574253,4.945795473897883,45.45454545454545,8.782799977780087e-05,1200
NearestNeighbor,Small_1,Small,10,3231.1742179574253,4.945795473897883,45.45454545454545,6.479300009232247e-05,1200
NearestNeighbor,Small_1,Small,10,3231.1742179574253,4.945795473897883,45.45454545454545,6.353099979605759e-05,1200
NearestNeighbor,Small_1,Small,10,3231.1742179574253,4.945795473897883,45.45454545454545,6.143700011307374e-05,1200
NearestNeighbor,Small_1,Small,10,3231.1742179574253,4.945795473897883,45.45454545454545,6.326099992293166e-05,1200
TwoOpt,Small_1,Small,10,3147.3572019121284,2.223489949721394,72.72727272727273,0.0005313429992384044,272
TwoOpt,Small_1,Small,10,3147.3572019121284,2.223489949721394,72.72727272727273,0.0004888619996563648,272
TwoOpt,Small_1,Small,10,3147.3572019121284,2.223489949721394,72.72727272727273,0.0014486739992207731,272
TwoOpt,Small_1,Small,10,3147.3572019121284,2.223489949721394,72.72727272727273,0.0005208640004639165,272
TwoOpt,Small_1,Small,10,3147.3572019121284,2.223489949721394,72.72727272727273,0.00048787000014272053,272
NearestNeighbor,Small_1,Small,10,3231.1742179574253,4.945795473897883,45.45454545454545,8.719700053916313e-05,1200
NearestNeighbor,Small_1,Small,10,3231.1742179574253,4.945795473897883,45.45454545454545,6.678799945802893e-05,1200
NearestNeighbor,Small_1,Small,10,3231.1742179574253,4.945795473897883,45.45454545454545,8.8328999481746e-05,1200
NearestNeighbor,Small_1,Small,10,3231.1742179574253,4.945795473897883,45.45454545454545,8.197700026357779e-05,1200
NearestNeighbor,Small_1,Small,10,3231.1742179574253,4.945795473897883,45.45454545454545,6.735900024068542e-05,1200
NearestNeighbor,Small_2,Small,10,2647.9999082775757,9.793002096759405,54.54545454545454,8.224700013670372e-05,1200
NearestNeighbor,Small_2,Small,10,2647.9999082775757,9.793002096759405,54.54545454545454,6.556500011356547e-05,1200
NearestNeighbor,Small_2,Small,10,2647.9999082775757,9.793002096759405,54.54545454545454,6.318000032479176e-05,1200
NearestNeighbor,Small_2,Small,10,2647.9999082775757,9.793002096759405,54.54545454545454,0.00010830700011865702,1200
NearestNeighbor,Small_2,Small,10,2647.9999082775757,9.793002096759405,54.54545454545454,6.483299966930645e-05,1200
NearestNeighbor,Small_3,Small,11,2707.5311789647453,1.2990916328896307,75.0,0.00010774600013974123,1224
NearestNeighbor,Small_3,Small,11,2707.5311789647453,1.2990916328896307,75.0,7.560399990325095e-05,1224
NearestNeighbor,Small_3,Small,11,2707.5311789647453,1.2990916328896307,75.0,7.344000005105045e-05,1224
NearestNeighbor,Small_3,Small,11,2707.5311789647453,1.2990916328896307,75.0,7.275799998751609e-05,1224
NearestNeighbor,Small_3,Small,11,2707.5311789647453,1.2990916328896307,75.0,7.295900013559731e-05,1224
NearestNeighbor,Small_4,Small,11,2837.3539306013845,0.0,91.66666666666666,0.0001738720002322225,1224
NearestNeighbor,Small_4,Small,11,2837.3539306013845,0.0,91.66666666666666,0.0003363269997862517,1224
NearestNeighbor,Small_4,Small,11,2837.3539306013845,0.0,91.66666666666666,7.85590000305092e-05,1224
NearestNeighbor,Small_4,Small,11,2837.3539306013845,0.0,91.66666666666666,7.46020004953607e-05,1224
NearestNeighbor,Small_4,Small,11,2837.3539306013845,0.0,91.66666666666666,8.493199948134134e-05,1224
NearestNeighbor,Small_5,Small,12,3324.502755098156,6.9493853263613525,76.92307692307693,0.00012037999931635568,1224
NearestNeighbor,Small_5,Small,12,3324.502755098156,6.9493853263613525,76.92307692307693,8.83189995875e-05,1224
NearestNeighbor,Small_5,Small,12,3324.502755098156,6.9493853263613525,76.92307692307693,0.00014347300020745024,1224
NearestNeighbor,Small_5,Small,12,3324.502755098156,6.9493853263613525,76.92307692307693,9.246600075130118e-05,1224
NearestNeighbor,Small_5,Small,12,3324.502755098156,6.9493853263613525,76.92307692307693,8.523199994669994e-05,1224
NearestNeighbor,Small_6,Small,12,3069.076150721156,10.694100628568776,53.84615384615385,0.0001690420003797044,1224
NearestNeighbor,Small_6,Small,12,3069.076150721156,10.694100628568776,53.84615384615385,0.00012372500077617588,1224
NearestNeighbor,Small_6,Small,12,3069.076150721156,10.694100628568776,53.84615384615385,0.00013808399944537086,1224
NearestNeighbor,Small_6,Small,12,3069.076150721156,10.694100628568776,53.84615384615385,0.00012932699974044226,1224
NearestNeighbor,Small_6,Small,12,3069.076150721156,10.694100628568776,53.84615384615385,0.00011329599965392845,1224
NearestNeighbor,Small_7,Small,13,3528.5328202161254,17.284393725058393,50.0,0.00018151600033888826,1224
NearestNeighbor,Small_7,Small,13,3528.5328202161254,17.284393725058393,50.0,0.0001156110001829802,1224
NearestNeighbor,Small_7,Small,13,3528.5328202161254,17.284393725058393,50.0,9.893800051941071e-05,1224
NearestNeighbor,Small_7,Small,13,3528.5328202161254,17.284393725058393,50.0,0.00014256099984777393,1224
NearestNeighbor,Small_7,Small,13,3528.5328202161254,17.284393725058393,50.0,0.00010164399918721756,1224
NearestNeighbor,Small_8,Small,13,3705.399270074544,27.02306985921603,42.857142857142854,0.00011980799990851665,1224
NearestNeighbor,Small_8,Small,13,3705.399270074544,27.02306985921603,42.857142857142854,0.00010080300035042455,1224
NearestNeighbor,Small_8,Small,13,3705.399270074544,27.02306985921603,42.857142857142854,0.00010012099937739549,1224
NearestNeighbor,Small_8,Small,13,3705.399270074544,27.02306985921603,42.857142857142854,0.00011834499946417054,1224
NearestNeighbor,Small_8,Small,13,3705.399270074544,27.02306985921603,42.857142857142854,9.811699965212028e-05,1224
NearestNeighbor,Small_9,Small,14,4539.990287482207,16.66835407884214,60.0,0.00013459700039675226,1224
NearestNeighbor,Small_9,Small,14,4539.990287482207,16.66835407884214,60.0,0.00011270499999227468,1224
NearestNeighbor,Small_9,Small,14,4539.990287482207,16.66835407884214,60.0,0.00011404700035200221,1224
NearestNeighbor,Small_9,Small,14,4539.990287482207,16.66835407884214,60.0,0.00032726900008128723,1224
NearestNeighbor,Small_9,Small,14,4539.990287482207,16.66835407884214,60.0,0.00012194299961265642,1224
NearestNeighbor,Small_10,Small,14,3470.427370531747,1.4779081124071276,80.0,0.00020196500008751173,1224
NearestNeighbor,Small_10,Small,14,3470.427370531747,1.4779081124071276,80.0,0.00016855200010468252,1224
NearestNeighbor,Small_10,Small,14,3470.427370531747,1.4779081124071276,80.0,0.00011257400001341011,1224
NearestNeighbor,Small_10,Small,14,3470.427370531747,1.4779081124071276,80.0,0.00011225399975955952,1224
NearestNeighbor,Small_10,Small,14,3470.427370531747,1.4779081124071276,80.0,0.00011268399975961074,1224
NearestNeighbor,Small_11,Small,15,4827.303967683445,27.868042122772625,62.5,0.00021110299985593883,1224
NearestNeighbor,Small_11,Small,15,4827.303967683445,27.868042122772625,62.5,0.0001507380002294667,1224
NearestNeighbor,Small_11,Small,15,4827.303967683445,27.868042122772625,62.5,0.00012910599980386905,1224
NearestNeighbor,Small_11,Small,15,4827.303967683445,27.868042122772625,62.5,0.00012596000033227028,1224
NearestNeighbor,Small_11,Small,15,4827.303967683445,27.868042122772625,62.5,0.00018845899921871023,1224
NearestNeighbor,Small_12,Small,15,4328.716084356531,19.504500653042175,43.75,0.00014965499940444715,1224
NearestNeighbor,Small_12,Small,15,4328.716084356531,19.504500653042175,43.75,0.00018173599983128952,1224
NearestNeighbor,Small_12,Small,15,4328.716084356531,19.504500653042175,43.75,0.00012737300039589172,1224
NearestNeighbor,Small_12,Small,15,4328.716084356531,19.504500653042175,43.75,0.00013034799940214725,1224
NearestNeighbor,Small_12,Small,15,4328.716084356531,19.504500653042175,43.75,0.0001246779993380187,1224
NearestNeighbor,Small_13,Small,16,4312.819617361447,24.28646211857677,47.05882352941176,0.00016560600033699302,1224
NearestNeighbor,Small_13,Small,16,4312.819617361447,24.28646211857677,47.05882352941176,0.00014628799999627518,1224
NearestNeighbor,Small_13,Small,16,4312.819617361447,24.28646211857677,47.05882352941176,0.00014365399965754477,1224
NearestNeighbor,Small_13,Small,16,4312.819617361447,24.28646211857677,47.05882352941176,0.00014092899982642848,1224
NearestNeighbor,Small_13,Small,16,4312.819617361447,24.28646211857677,47.05882352941176,0.00014505699982692022,1224
NearestNeighbor,Small_14,Small,16,4035.7520099295903,3.7866432107852197,76.47058823529412,0.00016503500046383124,1224
NearestNeighbor,Small_14,Small,16,4035.7520099295903,3.7866432107852197,76.47058823529412,0.0001683509999566013,1224
NearestNeighbor,Small_14,Small,16,4035.7520099295903,3.7866432107852197,76.47058823529412,0.0001428420000593178,1224
NearestNeighbor,Small_14,Small,16,4035.7520099295903,3.7866432107852197,76.47058823529412,0.00014362300044012954,1224
NearestNeighbor,Small_14,Small,16,4035.7520099295903,3.7866432107852197,76.47058823529412,0.00014513600035570562,1224
NearestNeighbor,Small_15,Small,17,4392.903588283004,25.124386959166735,61.111111111111114,0.00018445199930283707,1224
NearestNeighbor,Small_15,Small,17,4392.903588283004,25.124386959166735,61.111111111111114,0.00015985499976522988,1224
NearestNeighbor,Small_15,Small,17,4392.903588283004,25.124386959166735,61.111111111111114,0.0001594340001247474,1224
NearestNeighbor,Small_15,Small,17,4392.903588283004,25.124386959166735,61.111111111111114,0.0001595840003574267,1224
NearestNeighbor,Small_15,Small,17,4392.903588283004,25.124386959166735,61.111111111111114,0.0001603760001671617,1224
NearestNeighbor,Small_16,Small,17,3698.213681600131,2.619891997429796,66.66666666666666,0.0002870680000341963,1224
NearestNeighbor,Small_16,Small,17,3698.213681600131,2.619891997429796,66.66666666666666,0.00019700599932548357,1224
NearestNeighbor,Small_16,Small,17,3698.213681600131,2.619891997429796,66.66666666666666,0.00016274999961751746,1224
NearestNeighbor,Small_16,Small,17,3698.213681600131,2.619891997429796,66.66666666666666,0.0001654150000831578,1224
NearestNeighbor,Small_16,Small,17,3698.213681600131,2.619891997429796,66.66666666666666,0.00015933400027279276,1224
NearestNeighbor,Small_17,Small,18,3171.830555250247,4.78472533299779,78.94736842105263,0.00019176600017090095,1264
NearestNeighbor,Small_17,Small,18,3171.830555250247,4.78472533299779,78.94736842105263,0.00017652700080361683,1264
NearestNeighbor,Small_17,Small,18,3171.830555250247,4.78472533299779,78.94736842105263,0.0001761760004228563,1264
NearestNeighbor,Small_17,Small,18,3171.830555250247,4.78472533299779,78.94736842105263,0.00017357100023218663,1264
NearestNeighbor,Small_17,Small,18,3171.830555250247,4.78472533299779,78.94736842105263,0.00017821900019043824,1264
NearestNeighbor,Small_18,Small,18,4773.925336760392,27.46185970431963,68.42105263157895,0.0005443929994726204,1264
NearestNeighbor,Small_18,Small,18,4773.925336760392,27.46185970431963,68.42105263157895,0.00024009699973248644,1264
NearestNeighbor,Small_18,Small,18,4773.925336760392,27.46185970431963,68.42105263157895,0.000239465999584354,1264
NearestNeighbor,Small_18,Small,18,4773.925336760392,27.46185970431963,68.42105263157895,0.00017463299991504755,1264
NearestNeighbor,Small_18,Small,18,4773.925336760392,27.46185970431963,68.42105263157895,0.0001753249998728279,1264
NearestNeighbor,Small_19,Small,19,4743.74892244003,14.53509297407041,65.0,0.0002269830001750961,2864
NearestNeighbor,Small_19,Small,19,4743.74892244003,14.53509297407041,65.0,0.00027328099986334564,2864
NearestNeighbor,Small_19,Small,19,4743.74892244003,14.53509297407041,65.0,0.00020738500006700633,2864
NearestNeighbor,Small_19,Small,19,4743.74892244003,14.53509297407041,65.0,0.00020165400019322988,2864
NearestNeighbor,Small_19,Small,19,4743.74892244003,14.53509297407041,65.0,0.00022340600025927415,2864
NearestNeighbor,Small_20,Small,19,4228.162209742498,21.91756991133734,60.0,0.00021376699987740722,2864
NearestNeighbor,Small_20,Small,19,4228.162209742498,21.91756991133734,60.0,0.00019672599955811165,2864
NearestNeighbor,Small_20,Small,19,4228.162209742498,21.91756991133734,60.0,0.00020088299970666412,2864
NearestNeighbor,Small_20,Small,19,4228.162209742498,21.91756991133734,60.0,0.00019491100010782247,2864
NearestNeighbor,Small_20,Small,19,4228.162209742498,21.91756991133734,60.0,0.0001926180002556066,2864
NearestNeighbor,Small_21,Small,20,4311.667986258063,7.209804386803577,71.42857142857143,0.0002327229994989466,2864
NearestNeighbor,Small_21,Small,20,4311.667986258063,7.209804386803577,71.42857142857143,0.00021459900017362088,2864
NearestNeighbor,Small_21,Small,20,4311.667986258063,7.209804386803577,71.42857142857143,0.00024336400019819848,2864
NearestNeighbor,Small_21,Small,20,4311.667986258063,7.209804386803577,71.42857142857143,0.00021251599991956027,2864
NearestNeighbor,Small_21,Small,20,4311.667986258063,7.209804386803577,71.42857142857143,0.00021169299998291535,2864
